entry_date,exit_date,entry,sl,tp,exit_price,outcome,pnl,capital
2020-10-27,2020-10-28,1908.8,1901.46,1930.81,1901.46,LOSS,-100.0,9900.0
2020-10-28,2020-10-29,1876.2,1869.5,1896.29,1869.5,LOSS,-99.0,9801.0
2020-10-30,2020-11-06,1877.4,1850.33,1958.6,1958.6,WIN,294.03,10095.03
2020-11-02,2020-11-05,1890.4,1871.78,1946.26,1946.26,WIN,302.85,10397.88
2021-01-04,2021-01-06,1944.7,1906.48,2059.36,1906.48,LOSS,-103.98,10293.9
2021-01-11,2021-01-12,1849.6,1845.62,1861.53,1845.62,LOSS,-102.94,10190.96
2021-05-06,2021-05-17,1815.5,1800.59,1860.23,1860.23,WIN,305.73,10496.69
2021-05-19,2021-06-04,1881.3,1857.89,1951.52,1857.89,LOSS,-104.97,10391.73
2022-06-07,2022-06-10,1847.5,1824.32,1917.03,1824.32,LOSS,-103.92,10287.81
2022-11-15,2022-11-17,1773.8,1761.2,1811.6,1761.2,LOSS,-102.88,10184.93
2022-12-13,2022-12-15,1813.9,1781.65,1910.65,1781.65,LOSS,-101.85,10083.08
2022-12-16,2023-01-06,1790.0,1765.3,1864.09,1864.09,WIN,302.49,10385.57
2023-01-20,2023-01-31,1926.4,1905.15,1990.14,1905.15,LOSS,-103.86,10281.72
2023-06-06,2023-06-07,1965.5,1948.45,2016.66,1948.45,LOSS,-102.82,10178.9
