id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_short_all,traders_swap_short_all,traders_swap_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_short_old,traders_swap_short_old,traders_swap_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined,traders_prod_merc_long_all,traders_swap_long_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_prod_merc_long_old,traders_swap_long_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old
260602088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,55716,1022,0,5731,0,0,868,700,88,12830,37391,3751,24290,41930,31426,13786,55716,1022,0,5731,0,0,868,700,88,12830,37391,3751,24290,41930,31426,13786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9535,790,0,-119,0,0,-262,700,70,-5060,1139,-492,-5073,1417,-4462,-10952,100.0,1.8,0.0,10.3,0.0,0.0,1.6,1.3,0.2,23.0,67.1,6.7,43.6,75.3,56.4,24.7,100.0,1.8,0.0,10.3,0.0,0.0,1.6,1.3,0.2,23.0,67.1,6.7,43.6,75.3,56.4,24.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0,0,17,13,10,33,21,41,0,0,0,17,13,10,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,,,,,,,,,,
260602088691C,GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,GOLD,088691,CMX ,NYC,088 ,GOLD,434790,13947,37076,27867,207242,45106,129260,17919,22553,72918,12842,74416,386067,417154,48724,17636,434790,13947,37076,27867,207242,45106,129260,17919,22553,72918,12842,74416,386067,417154,48724,17636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20336,-1877,-1456,-1879,17675,-15541,4726,-9683,-7331,455,-6892,4268,-17177,-18960,-3158,-1376,100.0,3.2,8.5,6.4,47.7,10.4,29.7,4.1,5.2,16.8,3.0,17.1,88.8,95.9,11.2,4.1,100.0,3.2,8.5,6.4,47.7,10.4,29.7,4.1,5.2,16.8,3.0,17.1,88.8,95.9,11.2,4.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,16,27,30,84,34,57,260,181,280,16,27,30,84,34,57,260,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,31.2,28.4,47.6,15.4,28.9,22.2,40.1,18.6,31.2,28.4,47.6,15.4,28.9,22.2,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,18,14,77,22,61,18,14,77,22,61
260526088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,GOLD,088691,CMX ,NYC,088 ,GOLD,455126,15824,38531,29746,189568,60647,124534,27603,29884,72463,19734,70147,403244,436114,51882,19012,455126,15824,38531,29746,189568,60647,124534,27603,29884,72463,19734,70147,403244,436114,51882,19012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88290,-4782,-2090,-783,-2851,-9673,476,-2068,-23136,-1836,-293,-47442,-87176,-87552,-1114,-738,100.0,3.5,8.5,6.5,41.7,13.3,27.4,6.1,6.6,15.9,4.3,15.4,88.6,95.8,11.4,4.2,100.0,3.5,8.5,6.5,41.7,13.3,27.4,6.1,6.6,15.9,4.3,15.4,88.6,95.8,11.4,4.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,14,23,29,89,30,61,256,179,276,14,23,29,89,30,61,256,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,29.6,27.4,44.5,14.5,26.8,21.0,35.8,17.4,29.6,27.4,44.5,14.5,26.8,21.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,17,16,83,15,58,17,16,83,15,58
260526088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65251,232,0,5850,0,0,1130,0,18,17890,36252,4243,29363,40513,35888,24738,65251,232,0,5850,0,0,1130,0,18,17890,36252,4243,29363,40513,35888,24738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2958,0,0,272,0,0,374,-1178,-125,-3161,-8421,1142,-1498,-8582,-1460,5624,100.0,0.4,0.0,9.0,0.0,0.0,1.7,0.0,0.0,27.4,55.6,6.5,45.0,62.1,55.0,37.9,100.0,0.4,0.0,9.0,0.0,0.0,1.7,0.0,0.0,27.4,55.6,6.5,45.0,62.1,55.0,37.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,11,14,8,26,18,34,0,0,0,11,14,8,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,,,4,0,,,,4,0,
260519088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,68210,232,0,5578,0,0,756,1178,143,21051,44673,3101,30861,49095,37349,19115,68210,232,0,5578,0,0,756,1178,143,21051,44673,3101,30861,49095,37349,19115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0,-287,0,0,225,1178,142,-61,-847,118,137,591,1004,550,100.0,0.3,0.0,8.2,0.0,0.0,1.1,1.7,0.2,30.9,65.5,4.5,45.2,72.0,54.8,28.0,100.0,0.3,0.0,8.2,0.0,0.0,1.1,1.7,0.2,30.9,65.5,4.5,45.2,72.0,54.8,28.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,0,14,16,8,27,23,39,0,0,0,14,16,8,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,,,,,,,,,,
260519088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,GOLD,088691,CMX ,NYC,088 ,GOLD,543416,20605,40621,30528,192418,70319,124058,29670,53021,74299,20028,117589,490420,523667,52996,19750,543416,20605,40621,30528,192418,70319,124058,29670,53021,74299,20028,117589,490420,523667,52996,19750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1651,2894,-813,3577,-16384,8406,-5012,1227,1762,-8898,1378,-1358,1372,-5782,-3023,4131,100.0,3.8,7.5,5.6,35.4,12.9,22.8,5.5,9.8,13.7,3.7,21.6,90.2,96.4,9.8,3.6,100.0,3.8,7.5,5.6,35.4,12.9,22.8,5.5,9.8,13.7,3.7,21.6,90.2,96.4,9.8,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,16,24,33,104,37,76,285,211,310,16,24,33,104,37,76,285,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,27.4,29.7,42.1,12.0,22.5,17.6,30.2,18.0,27.4,29.7,42.1,12.0,22.5,17.6,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,19,19,83,18,65,19,19,83,18,65
260512088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,GOLD,088691,CMX ,NYC,088 ,GOLD,545067,17711,41434,26951,208803,61913,129070,28443,51258,83197,18650,118947,489048,529449,56019,15618,545067,17711,41434,26951,208803,61913,129070,28443,51258,83197,18650,118947,489048,529449,56019,15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18080,-1112,261,-1764,8430,4936,4403,-560,124,4377,667,6682,17646,20540,434,-2460,100.0,3.2,7.6,4.9,38.3,11.4,23.7,5.2,9.4,15.3,3.4,21.8,89.7,97.1,10.3,2.9,100.0,3.2,7.6,4.9,38.3,11.4,23.7,5.2,9.4,15.3,3.4,21.8,89.7,97.1,10.3,2.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,18,26,32,106,33,76,283,209,306,18,26,32,106,33,76,283,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,28.0,30.6,44.2,12.2,23.6,18.0,32.3,19.0,28.0,30.6,44.2,12.2,23.6,18.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,19,14,88,16,64,19,14,88,16,64
260512088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,67068,232,0,5865,0,0,531,0,1,21112,45520,2983,30724,48504,36344,18564,67068,232,0,5865,0,0,531,0,1,21112,45520,2983,30724,48504,36344,18564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,0,79,0,0,-339,-235,-33,1817,1048,560,2084,1340,-324,420,100.0,0.3,0.0,8.7,0.0,0.0,0.8,0.0,0.0,31.5,67.9,4.4,45.8,72.3,54.2,27.7,100.0,0.3,0.0,8.7,0.0,0.0,0.8,0.0,0.0,31.5,67.9,4.4,45.8,72.3,54.2,27.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0,13,17,8,25,21,37,0,0,0,13,17,8,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,,,,0,,,,,0,
260505088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65309,232,0,5786,0,0,870,235,34,19295,44472,2423,28640,47164,36669,18145,65309,232,0,5786,0,0,870,235,34,19295,44472,2423,28640,47164,36669,18145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3475,0,0,-9,0,0,70,13,-73,2437,3989,401,2826,4330,649,-855,100.0,0.4,0.0,8.9,0.0,0.0,1.3,0.4,0.1,29.5,68.1,3.7,43.9,72.2,56.1,27.8,100.0,0.4,0.0,8.9,0.0,0.0,1.3,0.4,0.1,29.5,68.1,3.7,43.9,72.2,56.1,27.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,14,17,9,28,23,40,0,0,0,14,17,9,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,,,,,,,,,,
260505088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,GOLD,088691,CMX ,NYC,088 ,GOLD,526987,18823,41173,28715,200373,56977,124667,29003,51135,78820,17983,112266,471402,508909,55585,18078,526987,18823,41173,28715,200373,56977,124667,29003,51135,78820,17983,112266,471402,508909,55585,18078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434,-14,-1275,-655,4438,892,385,-3705,2636,-1457,-364,3192,4979,5813,455,-379,100.0,3.6,7.8,5.4,38.0,10.8,23.7,5.5,9.7,15.0,3.4,21.3,89.5,96.6,10.5,3.4,100.0,3.6,7.8,5.4,38.0,10.8,23.7,5.5,9.7,15.0,3.4,21.3,89.5,96.6,10.5,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,17,26,32,100,37,77,280,202,300,17,26,32,100,37,77,280,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,28.1,30.4,43.4,13.0,23.4,19.1,31.8,18.8,28.1,30.4,43.4,13.0,23.4,19.1,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,18,14,83,18,60,18,14,83,18,60
