id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_short_all,traders_swap_short_all,traders_swap_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_short_old,traders_swap_short_old,traders_swap_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined,traders_prod_merc_long_all,traders_swap_long_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_prod_merc_long_old,traders_swap_long_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old
260602088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,55714,1022,0,5731,0,0,868,700,88,12830,37391,3751,24290,41930,31424,13784,55714,1022,0,5731,0,0,868,700,88,12830,37391,3751,24290,41930,31424,13784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9535,790,0,-119,0,0,-262,700,70,-5060,1139,-492,-5073,1417,-4462,-10952,100.0,1.8,0.0,10.3,0.0,0.0,1.6,1.3,0.2,23.0,67.1,6.7,43.6,75.3,56.4,24.7,100.0,1.8,0.0,10.3,0.0,0.0,1.6,1.3,0.2,23.0,67.1,6.7,43.6,75.3,56.4,24.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0,0,17,13,10,33,21,41,0,0,0,17,13,10,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,,,,,,,,,,
260602088691F,GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,GOLD,088691,CMX ,NYC,088 ,GOLD,326052,10275,30429,27505,213696,16071,129367,17188,12456,76729,12888,9993,282396,312721,43656,13331,326052,10275,30429,27505,213696,16071,129367,17188,12456,76729,12888,9993,282396,312721,43656,13331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27437,-2311,-1667,-1528,18407,-16951,5090,-9643,-7913,302,-6725,-633,-23944,-25125,-3493,-2312,100.0,3.2,9.3,8.4,65.5,4.9,39.7,5.3,3.8,23.5,4.0,3.1,86.6,95.9,13.4,4.1,100.0,3.2,9.3,8.4,65.5,4.9,39.7,5.3,3.8,23.5,4.0,3.1,86.6,95.9,13.4,4.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,13,29,22,79,26,23,223,123,258,13,29,22,79,26,23,223,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,39.4,30.6,56.1,20.0,38.9,29.0,53.6,20.5,39.4,30.6,56.1,20.0,38.9,29.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,14,12,74,16,36,14,12,74,16,36
260526088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65249,232,0,5850,0,0,1130,0,18,17890,36252,4243,29363,40513,35886,24736,65249,232,0,5850,0,0,1130,0,18,17890,36252,4243,29363,40513,35886,24736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2960,0,0,272,0,0,374,-1178,-125,-3161,-8421,1142,-1498,-8582,-1462,5622,100.0,0.4,0.0,9.0,0.0,0.0,1.7,0.0,0.0,27.4,55.6,6.5,45.0,62.1,55.0,37.9,100.0,0.4,0.0,9.0,0.0,0.0,1.7,0.0,0.0,27.4,55.6,6.5,45.0,62.1,55.0,37.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,11,14,8,26,18,34,0,0,0,11,14,8,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,,,4,0,,,,4,0,
260526088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,GOLD,088691,CMX ,NYC,088 ,GOLD,353489,12586,32096,29033,195289,33022,124277,26831,20369,76427,19613,10626,306340,337846,47149,15643,353489,12586,32096,29033,195289,33022,124277,26831,20369,76427,19613,10626,306340,337846,47149,15643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25836,-2214,-618,83,-7376,7252,1383,-2523,-18345,-11697,-2218,-2365,-25903,-26193,67,357,100.0,3.6,9.1,8.2,55.2,9.3,35.2,7.6,5.8,21.6,5.5,3.0,86.7,95.6,13.3,4.4,100.0,3.6,9.1,8.2,55.2,9.3,35.2,7.6,5.8,21.6,5.5,3.0,86.7,95.6,13.3,4.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,13,23,25,83,23,25,222,129,253,13,23,25,83,23,25,222,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,36.1,28.9,50.6,18.3,34.9,26.6,45.8,18.9,36.1,28.9,50.6,18.3,34.9,26.6,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,14,16,75,11,40,14,16,75,11,40
260519088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,68209,232,0,5578,0,0,756,1178,143,21051,44673,3101,30861,49095,37348,19114,68209,232,0,5578,0,0,756,1178,143,21051,44673,3101,30861,49095,37348,19114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,-287,0,0,225,1178,142,-61,-847,118,137,591,1005,551,100.0,0.3,0.0,8.2,0.0,0.0,1.1,1.7,0.2,30.9,65.5,4.5,45.2,72.0,54.8,28.0,100.0,0.3,0.0,8.2,0.0,0.0,1.1,1.7,0.2,30.9,65.5,4.5,45.2,72.0,54.8,28.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,0,14,16,8,27,23,39,0,0,0,14,16,8,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,,,,,,,,,,
260519088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,GOLD,088691,CMX ,NYC,088 ,GOLD,379325,14800,32714,28950,202665,25770,122894,29354,38714,88124,21831,12991,332243,364039,47082,15286,379325,14800,32714,28950,202665,25770,122894,29354,38714,88124,21831,12991,332243,364039,47082,15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829,3363,1075,3279,-13062,5153,-4348,127,2050,-4427,2887,628,5698,-1142,-2869,3971,100.0,3.9,8.6,7.6,53.4,6.8,32.4,7.7,10.2,23.2,5.8,3.4,87.6,96.0,12.4,4.0,100.0,3.9,8.6,7.6,53.4,6.8,32.4,7.7,10.2,23.2,5.8,3.4,87.6,96.0,12.4,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,13,24,23,93,29,33,239,148,282,13,24,23,93,29,33,239,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,35.0,30.7,49.3,16.8,32.7,25.0,43.6,20.4,35.0,30.7,49.3,16.8,32.7,25.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,14,19,76,17,44,14,19,76,17,44
260512088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,GOLD,088691,CMX ,NYC,088 ,GOLD,376496,11437,31639,25671,215727,20617,127242,29227,36664,92551,18944,12363,326545,365181,49951,11315,376496,11437,31639,25671,215727,20617,127242,29227,36664,92551,18944,12363,326545,365181,49951,11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8564,-1461,-371,-1648,8585,2604,3889,128,-689,4090,-468,1080,7865,10869,699,-2305,100.0,3.0,8.4,6.8,57.3,5.5,33.8,7.8,9.7,24.6,5.0,3.3,86.7,97.0,13.3,3.0,100.0,3.0,8.4,6.8,57.3,5.5,33.8,7.8,9.7,24.6,5.0,3.3,86.7,97.0,13.3,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,12,25,21,94,26,30,241,136,278,12,25,21,94,26,30,241,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,36.0,31.0,52.5,17.1,34.5,25.0,46.5,21.3,36.0,31.0,52.5,17.1,34.5,25.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,16,15,80,16,42,16,15,80,16,42
260512088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,67067,232,0,5865,0,0,531,0,1,21112,45520,2983,30724,48504,36343,18563,67067,232,0,5865,0,0,531,0,1,21112,45520,2983,30724,48504,36343,18563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,79,0,0,-339,-235,-33,1817,1048,560,2084,1340,-325,419,100.0,0.3,0.0,8.7,0.0,0.0,0.8,0.0,0.0,31.5,67.9,4.4,45.8,72.3,54.2,27.7,100.0,0.3,0.0,8.7,0.0,0.0,0.8,0.0,0.0,31.5,67.9,4.4,45.8,72.3,54.2,27.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0,13,17,8,25,21,37,0,0,0,13,17,8,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,,,,0,,,,,0,
260505088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65308,232,0,5786,0,0,870,235,34,19295,44472,2423,28640,47164,36668,18144,65308,232,0,5786,0,0,870,235,34,19295,44472,2423,28640,47164,36668,18144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,0,-9,0,0,70,13,-73,2437,3989,401,2826,4330,652,-852,100.0,0.4,0.0,8.9,0.0,0.0,1.3,0.4,0.1,29.5,68.1,3.7,43.9,72.2,56.1,27.8,100.0,0.4,0.0,8.9,0.0,0.0,1.3,0.4,0.1,29.5,68.1,3.7,43.9,72.2,56.1,27.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,14,17,9,28,23,40,0,0,0,14,17,9,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,,,,,,,,,,
260505088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,GOLD,088691,CMX ,NYC,088 ,GOLD,367932,12898,32010,27319,207142,18013,123353,29099,37353,88461,19412,11283,318680,354312,49252,13620,367932,12898,32010,27319,207142,18013,123353,29099,37353,88461,19412,11283,318680,354312,49252,13620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1598,-87,-1167,-713,4489,-1523,1096,-3406,1949,-1100,-330,-1192,-1570,-1180,-28,-418,100.0,3.5,8.7,7.4,56.3,4.9,33.5,7.9,10.2,24.0,5.3,3.1,86.6,96.3,13.4,3.7,100.0,3.5,8.7,7.4,56.3,4.9,33.5,7.9,10.2,24.0,5.3,3.1,86.6,96.3,13.4,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,13,25,23,91,29,36,239,139,276,13,25,23,91,29,36,239,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,36.1,32.1,51.7,18.1,33.9,26.3,46.1,21.6,36.1,32.1,51.7,18.1,33.9,26.3,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly,14,15,77,17,37,14,15,77,17,37
