id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
260602088691C,GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,GOLD,088691,CMX ,NYC,088 ,GOLD,434790,202178,30761,96969,86920,289424,386067,417154,48724,17636,434790,202178,30761,96969,86920,289424,386067,417154,48724,17636,0,0,0,0,0,0,0,0,0,0,-20336,5181,-16576,-3063,-19296,678,-17177,-18960,-3158,-1376,100.0,46.5,7.1,22.3,20.0,66.6,88.8,95.9,11.2,4.1,100.0,46.5,7.1,22.3,20.0,66.6,88.8,95.9,11.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,161,56,118,52,53,260,181,280,161,56,118,52,53,260,181,0,0,0,0,0,0,0,0,18.6,31.2,28.4,47.6,15.4,28.9,22.2,40.1,18.6,31.2,28.4,47.6,15.4,28.9,22.2,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260602088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,55716,13698,38091,3839,6753,0,24290,41930,31426,13786,55716,13698,38091,3839,6753,0,24290,41930,31426,13786,0,0,0,0,0,0,0,0,0,0,-9535,-5322,1839,-422,671,0,-5073,1417,-4462,-10952,100.0,24.6,68.4,6.9,12.1,0.0,43.6,75.3,56.4,24.7,100.0,24.6,68.4,6.9,12.1,0.0,43.6,75.3,56.4,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,20,15,13,5,0,33,21,41,20,15,13,5,0,33,21,0,0,0,0,0,0,0,0,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260526088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,GOLD,088691,CMX ,NYC,088 ,GOLD,455126,196997,47337,100032,106216,288746,403244,436114,51882,19012,455126,196997,47337,100032,106216,288746,403244,436114,51882,19012,0,0,0,0,0,0,0,0,0,0,-88290,-1361,-2361,-70579,-15237,-14613,-87176,-87552,-1114,-738,100.0,43.3,10.4,22.0,23.3,63.4,88.6,95.8,11.4,4.2,100.0,43.3,10.4,22.0,23.3,63.4,88.6,95.8,11.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,172,45,119,50,49,256,179,276,172,45,119,50,49,256,179,0,0,0,0,0,0,0,0,17.4,29.6,27.4,44.5,14.5,26.8,21.0,35.8,17.4,29.6,27.4,44.5,14.5,26.8,21.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260526088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65251,19020,36252,4261,6082,0,29363,40513,35888,24738,65251,19020,36252,4261,6082,0,29363,40513,35888,24738,0,0,0,0,0,0,0,0,0,0,-2958,-2787,-9599,1017,272,0,-1498,-8582,-1460,5624,100.0,29.1,55.6,6.5,9.3,0.0,45.0,62.1,55.0,37.9,100.0,29.1,55.6,6.5,9.3,0.0,45.0,62.1,55.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,15,14,10,4,0,26,18,34,15,14,10,4,0,26,18,0,0,0,0,0,0,0,0,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260519088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,GOLD,088691,CMX ,NYC,088 ,GOLD,543416,198358,49698,170610,121453,303358,490420,523667,52996,19750,543416,198358,49698,170610,121453,303358,490420,523667,52996,19750,0,0,0,0,0,0,0,0,0,0,-1651,-13909,2605,404,14877,-8792,1372,-5782,-3023,4131,100.0,36.5,9.1,31.4,22.3,55.8,90.2,96.4,9.8,3.6,100.0,36.5,9.1,31.4,22.3,55.8,90.2,96.4,9.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,187,55,141,57,54,285,211,310,187,55,141,57,54,285,211,0,0,0,0,0,0,0,0,18.0,27.4,29.7,42.1,12.0,22.5,17.6,30.2,18.0,27.4,29.7,42.1,12.0,22.5,17.6,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260519088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,68210,21807,45851,3244,5810,0,30861,49095,37349,19115,68210,21807,45851,3244,5810,0,30861,49095,37349,19115,0,0,0,0,0,0,0,0,0,0,1141,164,331,260,-287,0,137,591,1004,550,100.0,32.0,67.2,4.8,8.5,0.0,45.2,72.0,54.8,28.0,100.0,32.0,67.2,4.8,8.5,0.0,45.2,72.0,54.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,17,18,11,3,0,27,23,39,17,18,11,3,0,27,23,0,0,0,0,0,0,0,0,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260512088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,GOLD,088691,CMX ,NYC,088 ,GOLD,545067,212267,47093,170206,106575,312150,489048,529449,56019,15618,545067,212267,47093,170206,106575,312150,489048,529449,56019,15618,0,0,0,0,0,0,0,0,0,0,18080,8780,107,6806,2060,13627,17646,20540,434,-2460,100.0,38.9,8.6,31.2,19.6,57.3,89.7,97.1,10.3,2.9,100.0,38.9,8.6,31.2,19.6,57.3,89.7,97.1,10.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,194,49,140,54,55,283,209,306,194,49,140,54,55,283,209,0,0,0,0,0,0,0,0,19.0,28.0,30.6,44.2,12.2,23.6,18.0,32.3,19.0,28.0,30.6,44.2,12.2,23.6,18.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260512088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,67068,21643,45520,2984,6097,0,30724,48504,36344,18564,67068,21643,45520,2984,6097,0,30724,48504,36344,18564,0,0,0,0,0,0,0,0,0,0,1760,1478,813,527,79,0,2084,1340,-324,420,100.0,32.3,67.9,4.4,9.1,0.0,45.8,72.3,54.2,27.7,100.0,32.3,67.9,4.4,9.1,0.0,45.8,72.3,54.2,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,15,17,9,4,0,25,21,37,15,17,9,4,0,25,21,0,0,0,0,0,0,0,0,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260505088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65309,20165,44707,2457,6018,0,28640,47164,36669,18145,65309,20165,44707,2457,6018,0,28640,47164,36669,18145,0,0,0,0,0,0,0,0,0,0,3475,2507,4002,328,-9,0,2826,4330,649,-855,100.0,30.9,68.5,3.8,9.2,0.0,43.9,72.2,56.1,27.8,100.0,30.9,68.5,3.8,9.2,0.0,43.9,72.2,56.1,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,17,18,11,4,0,28,23,40,17,18,11,4,0,28,23,0,0,0,0,0,0,0,0,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
260505088691C,GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,GOLD,088691,CMX ,NYC,088 ,GOLD,526987,203487,46986,163400,104515,298523,471402,508909,55585,18078,526987,203487,46986,163400,104515,298523,471402,508909,55585,18078,0,0,0,0,0,0,0,0,0,0,5434,-1072,-4069,5827,224,4055,4979,5813,455,-379,100.0,38.6,8.9,31.0,19.8,56.6,89.5,96.6,10.5,3.4,100.0,38.6,8.9,31.0,19.8,56.6,89.5,96.6,10.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,183,55,137,54,53,280,202,300,183,55,137,54,53,280,202,0,0,0,0,0,0,0,0,18.8,28.1,30.4,43.4,13.0,23.4,19.1,31.8,18.8,28.1,30.4,43.4,13.0,23.4,19.1,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined
