id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
260602088691F,GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,GOLD,088691,CMX ,NYC,088 ,GOLD,326052,206096,30076,22449,53851,260196,282396,312721,43656,13331,326052,206096,30076,22449,53851,260196,282396,312721,43656,13331,0,0,0,0,0,0,0,0,0,0,-27437,5392,-16368,-8546,-20790,-211,-23944,-25125,-3493,-2312,100.0,63.2,9.2,6.9,16.5,79.8,86.6,95.9,13.4,4.1,100.0,63.2,9.2,6.9,16.5,79.8,86.6,95.9,13.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,153,42,59,44,46,223,123,258,153,42,59,44,46,223,123,0,0,0,0,0,0,0,0,20.5,39.4,30.6,56.1,20.0,38.9,29.0,53.6,20.5,39.4,30.6,56.1,20.0,38.9,29.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260602088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-06-02T00:00:00.000,2026 Report Week 22,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,55714,13698,38091,3839,6753,0,24290,41930,31424,13784,55714,13698,38091,3839,6753,0,24290,41930,31424,13784,0,0,0,0,0,0,0,0,0,0,-9535,-5322,1839,-422,671,0,-5073,1417,-4462,-10952,100.0,24.6,68.4,6.9,12.1,0.0,43.6,75.3,56.4,24.7,100.0,24.6,68.4,6.9,12.1,0.0,43.6,75.3,56.4,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,20,15,13,5,0,33,21,41,20,15,13,5,0,33,21,0,0,0,0,0,0,0,0,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,23.6,59.0,30.1,68.5,21.6,58.2,27.4,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260526088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,GOLD,088691,CMX ,NYC,088 ,GOLD,353489,200704,46444,30995,74641,260407,306340,337846,47149,15643,353489,200704,46444,30995,74641,260407,306340,337846,47149,15643,0,0,0,0,0,0,0,0,0,0,-25836,-10314,-4741,-20710,5121,-742,-25903,-26193,67,357,100.0,56.8,13.1,8.8,21.1,73.7,86.7,95.6,13.3,4.4,100.0,56.8,13.1,8.8,21.1,73.7,86.7,95.6,13.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,158,34,65,44,47,222,129,253,158,34,65,44,47,222,129,0,0,0,0,0,0,0,0,18.9,36.1,28.9,50.6,18.3,34.9,26.6,45.8,18.9,36.1,28.9,50.6,18.3,34.9,26.6,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260526088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-26T00:00:00.000,2026 Report Week 21,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65249,19020,36252,4261,6082,0,29363,40513,35886,24736,65249,19020,36252,4261,6082,0,29363,40513,35886,24736,0,0,0,0,0,0,0,0,0,0,-2960,-2787,-9599,1017,272,0,-1498,-8582,-1462,5622,100.0,29.1,55.6,6.5,9.3,0.0,45.0,62.1,55.0,37.9,100.0,29.1,55.6,6.5,9.3,0.0,45.0,62.1,55.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,15,14,10,4,0,26,18,34,15,14,10,4,0,26,18,0,0,0,0,0,0,0,0,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,28.4,43.3,35.8,54.3,27.3,42.1,33.9,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260519088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,GOLD,088691,CMX ,NYC,088 ,GOLD,379325,211018,51185,51705,69520,261149,332243,364039,47082,15286,379325,211018,51185,51705,69520,261149,332243,364039,47082,15286,0,0,0,0,0,0,0,0,0,0,2829,-8775,3014,2678,11795,-6834,5698,-1142,-2869,3971,100.0,55.6,13.5,13.6,18.3,68.8,87.6,96.0,12.4,4.0,100.0,55.6,13.5,13.6,18.3,68.8,87.6,96.0,12.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,169,46,77,47,46,239,148,282,169,46,77,47,46,239,148,0,0,0,0,0,0,0,0,20.4,35.0,30.7,49.3,16.8,32.7,25.0,43.6,20.4,35.0,30.7,49.3,16.8,32.7,25.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260519088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-19T00:00:00.000,2026 Report Week 20,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,68209,21807,45851,3244,5810,0,30861,49095,37348,19114,68209,21807,45851,3244,5810,0,30861,49095,37348,19114,0,0,0,0,0,0,0,0,0,0,1142,164,331,260,-287,0,137,591,1005,551,100.0,32.0,67.2,4.8,8.5,0.0,45.2,72.0,54.8,28.0,100.0,32.0,67.2,4.8,8.5,0.0,45.2,72.0,54.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,17,18,11,3,0,27,23,39,17,18,11,3,0,27,23,0,0,0,0,0,0,0,0,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,28.4,43.9,34.9,59.2,28.4,43.8,34.7,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260512088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,GOLD,088691,CMX ,NYC,088 ,GOLD,376496,219793,48171,49027,57725,267983,326545,365181,49951,11315,376496,219793,48171,49027,57725,267983,326545,365181,49951,11315,0,0,0,0,0,0,0,0,0,0,8564,7979,-340,391,-505,10818,7865,10869,699,-2305,100.0,58.4,12.8,13.0,15.3,71.2,86.7,97.0,13.3,3.0,100.0,58.4,12.8,13.0,15.3,71.2,86.7,97.0,13.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,174,42,72,46,43,241,136,278,174,42,72,46,43,241,136,0,0,0,0,0,0,0,0,21.3,36.0,31.0,52.5,17.1,34.5,25.0,46.5,21.3,36.0,31.0,52.5,17.1,34.5,25.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260512088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-12T00:00:00.000,2026 Report Week 19,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,67067,21643,45520,2984,6097,0,30724,48504,36343,18563,67067,21643,45520,2984,6097,0,30724,48504,36343,18563,0,0,0,0,0,0,0,0,0,0,1759,1478,813,527,79,0,2084,1340,-325,419,100.0,32.3,67.9,4.4,9.1,0.0,45.8,72.3,54.2,27.7,100.0,32.3,67.9,4.4,9.1,0.0,45.8,72.3,54.2,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,15,17,9,4,0,25,21,37,15,17,9,4,0,25,21,0,0,0,0,0,0,0,0,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,28.5,50.1,34.9,61.5,28.5,48.8,34.7,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260505088695F,MICRO GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,65308,20165,44707,2457,6018,0,28640,47164,36668,18144,65308,20165,44707,2457,6018,0,28640,47164,36668,18144,0,0,0,0,0,0,0,0,0,0,3478,2507,4002,328,-9,0,2826,4330,652,-852,100.0,30.9,68.5,3.8,9.2,0.0,43.9,72.2,56.1,27.8,100.0,30.9,68.5,3.8,9.2,0.0,43.9,72.2,56.1,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,17,18,11,4,0,28,23,40,17,18,11,4,0,28,23,0,0,0,0,0,0,0,0,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,27.5,50.9,33.7,62.1,27.5,49.6,33.1,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
260505088691F,GOLD - COMMODITY EXCHANGE INC.,2026-05-05T00:00:00.000,2026 Report Week 18,GOLD,088691,CMX ,NYC,088 ,GOLD,367932,211814,48511,48636,58230,257165,318680,354312,49252,13620,367932,211814,48511,48636,58230,257165,318680,354312,49252,13620,0,0,0,0,0,0,0,0,0,0,-1598,-4,-3736,757,-2323,1799,-1570,-1180,-28,-418,100.0,57.6,13.2,13.2,15.8,69.9,86.6,96.3,13.4,3.7,100.0,57.6,13.2,13.2,15.8,69.9,86.6,96.3,13.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,168,46,73,46,44,239,139,276,168,46,73,46,44,239,139,0,0,0,0,0,0,0,0,21.6,36.1,32.1,51.7,18.1,33.9,26.3,46.1,21.6,36.1,32.1,51.7,18.1,33.9,26.3,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
