entry_date,exit_date,entry,sl,tp,exit_price,outcome,pnl,capital
2021-05-24,2021-06-03,1884.6,1869.5,1929.89,1869.5,LOSS,-100.0,9900.0
2021-05-25,2021-06-03,1898.1,1871.78,1977.06,1871.78,LOSS,-99.0,9801.0
2021-06-02,2021-06-03,1907.5,1901.46,1925.61,1901.46,LOSS,-98.01,9702.99
2021-09-08,2021-09-16,1790.7,1781.65,1817.85,1781.65,LOSS,-97.03,9605.96
2021-10-25,2021-10-26,1806.0,1800.59,1822.23,1800.59,LOSS,-96.06,9509.9
2021-10-27,2021-10-29,1797.9,1792.87,1812.98,1792.87,LOSS,-95.1,9414.8
2021-11-11,2021-11-12,1863.2,1850.33,1901.8,1850.33,LOSS,-94.15,9320.65
2022-11-14,2022-11-17,1773.6,1761.2,1810.8,1761.2,LOSS,-93.21,9227.45
2022-11-15,2022-11-17,1773.8,1765.3,1799.29,1765.3,LOSS,-92.27,9135.17
2022-12-07,2022-12-09,1785.5,1780.87,1799.38,1799.38,WIN,274.06,9409.23
2022-12-08,2022-12-09,1788.7,1783.58,1804.07,1804.07,WIN,282.28,9691.5
2022-12-28,2022-12-29,1807.9,1804.12,1819.25,1819.25,WIN,290.75,9982.25
